Removed Pin From Net: NetName=RESET Pin=SW1-1
Removed Pin From Net: NetName=RESET Pin=SW1-2
Removed Pin From Net: NetName=GND Pin=SW1-3
Removed Pin From Net: NetName=GND Pin=SW1-4
Removed Pin From Net: NetName=ECHO Pin=U1-11
Removed Pin From Net: NetName=TRIG Pin=U1-12
Removed Member From Class: ClassName=Schematic Member=SW1
Change Component Footprint: Designator=C1 Old Footprint=CAPC1608X100N New Footprint=FP-C0603C-CF-MFG
Change Component Comment : Designator=C2 Old Comment=10uF New Comment=0.1uF
Change Component Comment : Designator=C1 Old Comment=47uF New Comment=0.047 uF
Change Managed Component Library Link : Designator=C1 Old VaultGUID= New VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 Old ItemGUID= New ItemGUID=10FDA717-95C4-44B9-8084-0F6255F2D434 Old RevisionGUID= New RevisionGUID=7221EB5B-F8BC-424B-98D7-3739E00642F7
Change component parameters: Designator = "C1" ("C1"); Footprint = "CAPC1608X100N"; UniqueID = "\OCNFJMJL" ("\OCNFJMJL")
Added Pin To Net: NetName=ANOT Pin=U10-4
Added Net: Name=ANOT
Added Pin To Net: NetName=A Pin=U9-1
Added Pin To Net: NetName=A Pin=U10-9
Added Pin To Net: NetName=A Pin=U10-12
Added Net: Name=A
Added Pin To Net: NetName=BNOT Pin=U9-4
Added Pin To Net: NetName=BNOT Pin=U10-2
Added Pin To Net: NetName=BNOT Pin=U10-10
Added Net: Name=BNOT
Added Pin To Net: NetName=B Pin=U9-3
Added Pin To Net: NetName=B Pin=U10-5
Added Pin To Net: NetName=B Pin=U10-13
Added Net: Name=B
Added Pin To Net: NetName=Button 1 Pin=P2 (BUTTON)-3
Added Pin To Net: NetName=Button 1 Pin=R24-2
Added Pin To Net: NetName=Button 1 Pin=U6-6
Added Net: Name=Button 1
Added Pin To Net: NetName=Button 2 Pin=P2 (BUTTON)-7
Added Pin To Net: NetName=Button 2 Pin=R25-2
Added Pin To Net: NetName=Button 2 Pin=U6-5
Added Net: Name=Button 2
Added Pin To Net: NetName=Button 3 Pin=P2 (BUTTON)-8
Added Pin To Net: NetName=Button 3 Pin=R26-2
Added Pin To Net: NetName=Button 3 Pin=U6-4
Added Net: Name=Button 3
Added Pin To Net: NetName=Button 4 Pin=P2 (BUTTON)-4
Added Pin To Net: NetName=Button 4 Pin=R27-2
Added Pin To Net: NetName=Button 4 Pin=U6-3
Added Net: Name=Button 4
Added Pin To Net: NetName=BUTTONOUT Pin=U6-7
Added Pin To Net: NetName=BUTTONOUT Pin=U7-6
Added Net: Name=BUTTONOUT
Added Pin To Net: NetName=DDOWN Pin=U5-2
Added Pin To Net: NetName=DDOWN Pin=U6-13
Added Net: Name=DDOWN
Added Pin To Net: NetName=DLEFT Pin=U5-13
Added Pin To Net: NetName=DLEFT Pin=U6-10
Added Net: Name=DLEFT
Added Pin To Net: NetName=DOWN Pin=P1-5
Added Pin To Net: NetName=DOWN Pin=R20-2
Added Pin To Net: NetName=DOWN Pin=U5-5
Added Net: Name=DOWN
Added Pin To Net: NetName=DRIGHT Pin=U5-14
Added Pin To Net: NetName=DRIGHT Pin=U6-11
Added Net: Name=DRIGHT
Added Pin To Net: NetName=DSCH Pin=C19-1
Added Pin To Net: NetName=DSCH Pin=R29-2
Added Net: Name=DSCH
Added Pin To Net: NetName=DUP Pin=U5-1
Added Pin To Net: NetName=DUP Pin=U6-12
Added Net: Name=DUP
Added Pin To Net: NetName=IMUXA Pin=U6-14
Added Net: Name=IMUXA
Added Pin To Net: NetName=IMUXB Pin=U6-2
Added Net: Name=IMUXB
Added Pin To Net: NetName=INPUT Pin=U7-7
Added Net: Name=INPUT
Added Pin To Net: NetName=JOYSTICKOUT Pin=U6-9
Added Pin To Net: NetName=JOYSTICKOUT Pin=U7-5
Added Net: Name=JOYSTICKOUT
Added Pin To Net: NetName=LED1 Pin=R31-1
Added Pin To Net: NetName=LED1 Pin=U10-3
Added Net: Name=LED1
Added Pin To Net: NetName=LED2 Pin=R32-1
Added Pin To Net: NetName=LED2 Pin=U10-6
Added Net: Name=LED2
Added Pin To Net: NetName=LED3 Pin=R33-1
Added Pin To Net: NetName=LED3 Pin=U10-8
Added Net: Name=LED3
Added Pin To Net: NetName=LED4 Pin=R34-1
Added Pin To Net: NetName=LED4 Pin=U10-11
Added Net: Name=LED4
Added Pin To Net: NetName=LEFT Pin=P1-2
Added Pin To Net: NetName=LEFT Pin=R23-2
Added Pin To Net: NetName=LEFT Pin=U5-11
Added Net: Name=LEFT
Added Pin To Net: NetName=Logical 0 Pin=R5-2
Added Pin To Net: NetName=Logical 0 Pin=U3-5
Added Pin To Net: NetName=Logical 0 Pin=U4-5
Added Net: Name=Logical 0
Added Pin To Net: NetName=Logical 1 Pin=U3-3
Added Pin To Net: NetName=Logical 1 Pin=U3-4
Added Net: Name=Logical 1
Added Pin To Net: NetName=NetC18_1 Pin=C18-1
Added Pin To Net: NetName=NetC18_1 Pin=U8-5
Added Net: Name=NetC18_1
Added Pin To Net: NetName=NetC19_2 Pin=C19-2
Added Pin To Net: NetName=NetC19_2 Pin=U8-2
Added Pin To Net: NetName=NetC19_2 Pin=U8-6
Added Net: Name=NetC19_2
Added Pin To Net: NetName=NetD0_1 Pin=D0-1
Added Pin To Net: NetName=NetD0_1 Pin=R10-2
Added Net: Name=NetD0_1
Added Pin To Net: NetName=NetD0_2 Pin=D0-2
Added Pin To Net: NetName=NetD0_2 Pin=R9-2
Added Net: Name=NetD0_2
Added Pin To Net: NetName=NetD0_3 Pin=D0-3
Added Pin To Net: NetName=NetD0_3 Pin=R8-2
Added Net: Name=NetD0_3
Added Pin To Net: NetName=NetD0_5 Pin=D0-5
Added Pin To Net: NetName=NetD0_5 Pin=R17-2
Added Net: Name=NetD0_5
Added Pin To Net: NetName=NetD0_6 Pin=D0-6
Added Pin To Net: NetName=NetD0_6 Pin=R16-2
Added Net: Name=NetD0_6
Added Pin To Net: NetName=NetD0_7 Pin=D0-7
Added Pin To Net: NetName=NetD0_7 Pin=R19-2
Added Net: Name=NetD0_7
Added Pin To Net: NetName=NetD0_8 Pin=D0-8
Added Pin To Net: NetName=NetD0_8 Pin=R15-2
Added Net: Name=NetD0_8
Added Pin To Net: NetName=NetD0_10 Pin=D0-10
Added Pin To Net: NetName=NetD0_10 Pin=R14-2
Added Net: Name=NetD0_10
Added Pin To Net: NetName=NetD0_11 Pin=D0-11
Added Pin To Net: NetName=NetD0_11 Pin=R13-2
Added Net: Name=NetD0_11
Added Pin To Net: NetName=NetD0_12 Pin=D0-12
Added Pin To Net: NetName=NetD0_12 Pin=R18-2
Added Net: Name=NetD0_12
Added Pin To Net: NetName=NetD0_15 Pin=D0-15
Added Pin To Net: NetName=NetD0_15 Pin=R7-2
Added Net: Name=NetD0_15
Added Pin To Net: NetName=NetD0_16 Pin=D0-16
Added Pin To Net: NetName=NetD0_16 Pin=R6-2
Added Net: Name=NetD0_16
Added Pin To Net: NetName=NetD0_17 Pin=D0-17
Added Pin To Net: NetName=NetD0_17 Pin=R12-2
Added Net: Name=NetD0_17
Added Pin To Net: NetName=NetD0_18 Pin=D0-18
Added Pin To Net: NetName=NetD0_18 Pin=R11-2
Added Net: Name=NetD0_18
Added Pin To Net: NetName=NetJ2_A5 Pin=J2-A5
Added Pin To Net: NetName=NetJ2_A5 Pin=R2-2
Added Net: Name=NetJ2_A5
Added Pin To Net: NetName=NetJ2_A9 Pin=J2-A9
Added Pin To Net: NetName=NetJ2_A9 Pin=J2-B9
Added Pin To Net: NetName=NetJ2_A9 Pin=J3-2
Added Net: Name=NetJ2_A9
Added Pin To Net: NetName=NetJ2_B5 Pin=J2-B5
Added Pin To Net: NetName=NetJ2_B5 Pin=R3-2
Added Net: Name=NetJ2_B5
Added Pin To Net: NetName=NetP3 (LED)_1 Pin=P3 (LED)-1
Added Pin To Net: NetName=NetP3 (LED)_1 Pin=R31-2
Added Net: Name=NetP3 (LED)_1
Added Pin To Net: NetName=NetP3 (LED)_2 Pin=P3 (LED)-2
Added Pin To Net: NetName=NetP3 (LED)_2 Pin=R34-2
Added Net: Name=NetP3 (LED)_2
Added Pin To Net: NetName=NetP3 (LED)_5 Pin=P3 (LED)-5
Added Pin To Net: NetName=NetP3 (LED)_5 Pin=R32-2
Added Net: Name=NetP3 (LED)_5
Added Pin To Net: NetName=NetP3 (LED)_6 Pin=P3 (LED)-6
Added Pin To Net: NetName=NetP3 (LED)_6 Pin=R33-2
Added Net: Name=NetP3 (LED)_6
Added Pin To Net: NetName=NetR6_1 Pin=R6-1
Added Pin To Net: NetName=NetR6_1 Pin=U3-13
Added Net: Name=NetR6_1
Added Pin To Net: NetName=NetR7_1 Pin=R7-1
Added Pin To Net: NetName=NetR7_1 Pin=U3-12
Added Net: Name=NetR7_1
Added Pin To Net: NetName=NetR8_1 Pin=R8-1
Added Pin To Net: NetName=NetR8_1 Pin=U3-11
Added Net: Name=NetR8_1
Added Pin To Net: NetName=NetR9_1 Pin=R9-1
Added Pin To Net: NetName=NetR9_1 Pin=U3-10
Added Net: Name=NetR9_1
Added Pin To Net: NetName=NetR10_1 Pin=R10-1
Added Pin To Net: NetName=NetR10_1 Pin=U3-9
Added Net: Name=NetR10_1
Added Pin To Net: NetName=NetR11_1 Pin=R11-1
Added Pin To Net: NetName=NetR11_1 Pin=U3-15
Added Net: Name=NetR11_1
Added Pin To Net: NetName=NetR12_1 Pin=R12-1
Added Pin To Net: NetName=NetR12_1 Pin=U3-14
Added Net: Name=NetR12_1
Added Pin To Net: NetName=NetR13_1 Pin=R13-1
Added Pin To Net: NetName=NetR13_1 Pin=U4-13
Added Net: Name=NetR13_1
Added Pin To Net: NetName=NetR14_1 Pin=R14-1
Added Pin To Net: NetName=NetR14_1 Pin=U4-12
Added Net: Name=NetR14_1
Added Pin To Net: NetName=NetR15_1 Pin=R15-1
Added Pin To Net: NetName=NetR15_1 Pin=U4-11
Added Net: Name=NetR15_1
Added Pin To Net: NetName=NetR16_1 Pin=R16-1
Added Pin To Net: NetName=NetR16_1 Pin=U4-10
Added Net: Name=NetR16_1
Added Pin To Net: NetName=NetR17_1 Pin=R17-1
Added Pin To Net: NetName=NetR17_1 Pin=U4-9
Added Net: Name=NetR17_1
Added Pin To Net: NetName=NetR18_1 Pin=R18-1
Added Pin To Net: NetName=NetR18_1 Pin=U4-15
Added Net: Name=NetR18_1
Added Pin To Net: NetName=NetR19_1 Pin=R19-1
Added Pin To Net: NetName=NetR19_1 Pin=U4-14
Added Net: Name=NetR19_1
Added Pin To Net: NetName=NetR28_1 Pin=R28-1
Added Pin To Net: NetName=NetR28_1 Pin=R29-1
Added Pin To Net: NetName=NetR28_1 Pin=U8-7
Added Net: Name=NetR28_1
Added Pin To Net: NetName=NetR30_1 Pin=R30-1
Added Pin To Net: NetName=NetR30_1 Pin=U9-5
Added Pin To Net: NetName=NetR30_1 Pin=U9-9
Added Pin To Net: NetName=NetR30_1 Pin=U9-11
Added Pin To Net: NetName=NetR30_1 Pin=U9-13
Added Net: Name=NetR30_1
Added Pin To Net: NetName=NetRV1_2 Pin=RV1-2
Added Pin To Net: NetName=NetRV1_2 Pin=U5-4
Added Pin To Net: NetName=NetRV1_2 Pin=U5-6
Added Pin To Net: NetName=NetRV1_2 Pin=U5-8
Added Pin To Net: NetName=NetRV1_2 Pin=U5-10
Added Net: Name=NetRV1_2
Added Pin To Net: NetName=NetU2_3 Pin=U2-3
Added Pin To Net: NetName=NetU2_3 Pin=U3-7
Added Net: Name=NetU2_3
Added Pin To Net: NetName=NetU2_4 Pin=U2-4
Added Pin To Net: NetName=NetU2_4 Pin=U3-1
Added Net: Name=NetU2_4
Added Pin To Net: NetName=NetU2_5 Pin=U2-5
Added Pin To Net: NetName=NetU2_5 Pin=U3-2
Added Net: Name=NetU2_5
Added Pin To Net: NetName=NetU2_6 Pin=U2-6
Added Pin To Net: NetName=NetU2_6 Pin=U3-6
Added Net: Name=NetU2_6
Added Pin To Net: NetName=NetU2_8 Pin=U2-8
Added Pin To Net: NetName=NetU2_8 Pin=U4-6
Added Net: Name=NetU2_8
Added Pin To Net: NetName=NetU2_9 Pin=U2-9
Added Pin To Net: NetName=NetU2_9 Pin=U4-2
Added Net: Name=NetU2_9
Added Pin To Net: NetName=NetU2_10 Pin=U2-10
Added Pin To Net: NetName=NetU2_10 Pin=U4-1
Added Net: Name=NetU2_10
Added Pin To Net: NetName=NetU2_11 Pin=U2-11
Added Pin To Net: NetName=NetU2_11 Pin=U4-7
Added Net: Name=NetU2_11
Added Pin To Net: NetName=PB3 Pin=J4-02
Added Pin To Net: NetName=PB3 Pin=U1-17
Added Net: Name=PB3
Added Pin To Net: NetName=PB4 Pin=J4-10
Added Pin To Net: NetName=PB4 Pin=U1-18
Added Net: Name=PB4
Added Pin To Net: NetName=PB5 Pin=J4-08
Added Pin To Net: NetName=PB5 Pin=U1-19
Added Net: Name=PB5
Added Pin To Net: NetName=PULLUP1 Pin=R4-2
Added Pin To Net: NetName=PULLUP1 Pin=U4-3
Added Pin To Net: NetName=PULLUP1 Pin=U4-4
Added Pin To Net: NetName=PULLUP1 Pin=U7-15
Added Net: Name=PULLUP1
Added Pin To Net: NetName=RIGHT Pin=P1-6
Added Pin To Net: NetName=RIGHT Pin=R22-2
Added Pin To Net: NetName=RIGHT Pin=U5-9
Added Net: Name=RIGHT
Added Pin To Net: NetName=UP Pin=P1-1
Added Pin To Net: NetName=UP Pin=R21-2
Added Pin To Net: NetName=UP Pin=U5-7
Added Net: Name=UP
Added Pin To Net: NetName=XTAL1 Pin=C8-1
Added Pin To Net: NetName=XTAL1 Pin=U1-9
Added Pin To Net: NetName=XTAL1 Pin=Y1-2
Added Net: Name=XTAL1
Added Pin To Net: NetName=XTAL2 Pin=C9-1
Added Pin To Net: NetName=XTAL2 Pin=U1-10
Added Pin To Net: NetName=XTAL2 Pin=Y1-1
Added Net: Name=XTAL2
Added Member To Class: ClassName=Schematic Member=Component C0 0.047 uF
Added Member To Class: ClassName=Schematic Member=Component C8 22pF
Added Member To Class: ClassName=Schematic Member=Component C9 22pF
Added Member To Class: ClassName=Schematic Member=Component C10 0.1uF
Added Member To Class: ClassName=Schematic Member=Component C11 0.1uF
Added Member To Class: ClassName=Schematic Member=Component C12 0.1uF
Added Member To Class: ClassName=Schematic Member=Component C13 0.1uF
Added Member To Class: ClassName=Schematic Member=Component C14 10uF
Added Member To Class: ClassName=Schematic Member=Component C15 0.1uF
Added Member To Class: ClassName=Schematic Member=Component C16 0.1uF
Added Member To Class: ClassName=Schematic Member=Component C17 0.1uF
Added Member To Class: ClassName=Schematic Member=Component C18 10nF
Added Member To Class: ClassName=Schematic Member=Component C19 3.3uF
Added Member To Class: ClassName=Schematic Member=Component C20 0.1uF
Added Member To Class: ClassName=Schematic Member=Component C21 0.1uF
Added Member To Class: ClassName=Schematic Member=Component D0 HDSP-523G
Added Member To Class: ClassName=Schematic Member=Component J2 UJC-VP-3-SMT-TR
Added Member To Class: ClassName=Schematic Member=Component J3 Master Switch
Added Member To Class: ClassName=Schematic Member=Component J4 TSW-105-07-S-D-LL
Added Member To Class: ClassName=Schematic Member=Component J5 Game Reset
Added Member To Class: ClassName=Schematic Member=Component P1 TSW-103-08-G-D
Added Member To Class: ClassName=Schematic Member=Component P2 (BUTTON) TSW-104-08-L-D
Added Member To Class: ClassName=Schematic Member=Component P3 (LED) TSW-104-08-L-D
Added Member To Class: ClassName=Schematic Member=Component R2 5.1k
Added Member To Class: ClassName=Schematic Member=Component R3 5.1k
Added Member To Class: ClassName=Schematic Member=Component R4 10k Ohm
Added Member To Class: ClassName=Schematic Member=Component R5 RMCF0603FG1K00
Added Member To Class: ClassName=Schematic Member=Component R6 100 Ohm
Added Member To Class: ClassName=Schematic Member=Component R7 100 Ohm
Added Member To Class: ClassName=Schematic Member=Component R8 100 Ohm
Added Member To Class: ClassName=Schematic Member=Component R9 100 Ohm
Added Member To Class: ClassName=Schematic Member=Component R10 100 Ohm
Added Member To Class: ClassName=Schematic Member=Component R11 100 Ohm
Added Member To Class: ClassName=Schematic Member=Component R12 100 Ohm
Added Member To Class: ClassName=Schematic Member=Component R13 100 Ohm
Added Member To Class: ClassName=Schematic Member=Component R14 100 Ohm
Added Member To Class: ClassName=Schematic Member=Component R15 100 Ohm
Added Member To Class: ClassName=Schematic Member=Component R16 100 Ohm
Added Member To Class: ClassName=Schematic Member=Component R17 100 Ohm
Added Member To Class: ClassName=Schematic Member=Component R18 100 Ohm
Added Member To Class: ClassName=Schematic Member=Component R19 100 Ohm
Added Member To Class: ClassName=Schematic Member=Component R20 CRCW12062K20FKEA
Added Member To Class: ClassName=Schematic Member=Component R21 CRCW12062K20FKEA
Added Member To Class: ClassName=Schematic Member=Component R22 CRCW12062K20FKEA
Added Member To Class: ClassName=Schematic Member=Component R23 CRCW12062K20FKEA
Added Member To Class: ClassName=Schematic Member=Component R24 10k Ohm
Added Member To Class: ClassName=Schematic Member=Component R25 10k Ohm
Added Member To Class: ClassName=Schematic Member=Component R26 10k Ohm
Added Member To Class: ClassName=Schematic Member=Component R27 10k Ohm
Added Member To Class: ClassName=Schematic Member=Component R28 10k Ohm
Added Member To Class: ClassName=Schematic Member=Component R29 10k Ohm
Added Member To Class: ClassName=Schematic Member=Component R30 10k Ohm
Added Member To Class: ClassName=Schematic Member=Component R31 2.2k
Added Member To Class: ClassName=Schematic Member=Component R32 2.2k
Added Member To Class: ClassName=Schematic Member=Component R33 2.2k
Added Member To Class: ClassName=Schematic Member=Component R34 2.2k
Added Member To Class: ClassName=Schematic Member=Component RV1 3290W-1-203
Added Member To Class: ClassName=Schematic Member=Component U2 SN74HC393PWT
Added Member To Class: ClassName=Schematic Member=Component U3 CD4511BNSR
Added Member To Class: ClassName=Schematic Member=Component U4 CD4511BNSR
Added Member To Class: ClassName=Schematic Member=Component U5 LM339MX
Added Member To Class: ClassName=Schematic Member=Component U6 SN74HC153PWT
Added Member To Class: ClassName=Schematic Member=Component U7 SN74HC153PWT
Added Member To Class: ClassName=Schematic Member=Component U8 MC1455BDR2G
Added Member To Class: ClassName=Schematic Member=Component U9 SN74HC04PWT
Added Member To Class: ClassName=Schematic Member=Component U10 SN74HC08PW
Added Member To Class: ClassName=Schematic Member=Component Y1 16MHz
